,product,init,timepoint,cloudcover,lifted_index,prec_type,prec_amount,temp2m,rh2m,weather,wind direction,wind speed
0,civil,2022110700,3,9,6,none,1,8,92%,cloudynight,SW,3
1,civil,2022110700,6,9,6,none,1,8,90%,cloudyday,SW,3
2,civil,2022110700,9,9,6,rain,1,8,94%,lightrainday,SW,3
3,civil,2022110700,12,9,6,rain,1,8,85%,lightrainday,SW,3
4,civil,2022110700,15,9,10,none,1,7,80%,cloudynight,SW,3
5,civil,2022110700,18,9,10,none,1,6,84%,cloudynight,S,3
6,civil,2022110700,21,9,6,rain,3,6,94%,lightrainnight,S,3
7,civil,2022110700,24,9,2,rain,3,7,90%,lightrainnight,S,3
8,civil,2022110700,27,9,2,rain,3,7,98%,lightrainnight,SW,3
9,civil,2022110700,30,9,2,rain,3,7,92%,lightrainnight,W,2
10,civil,2022110700,33,9,6,rain,3,7,91%,lightrainday,W,2
11,civil,2022110700,36,9,6,rain,3,7,82%,lightrainday,W,3
12,civil,2022110700,39,7,10,rain,3,6,75%,oshowernight,NW,2
13,civil,2022110700,42,8,10,rain,3,5,84%,lightrainnight,NW,2
14,civil,2022110700,45,8,15,none,3,3,79%,cloudynight,W,2
15,civil,2022110700,48,9,15,rain,3,3,88%,lightrainnight,W,2
16,civil,2022110700,51,9,15,rain,4,3,92%,rainnight,E,2
17,civil,2022110700,54,9,15,rain,4,3,94%,rainnight,E,2
18,civil,2022110700,57,9,6,rain,4,6,93%,rainday,SE,2
19,civil,2022110700,60,9,6,rain,4,8,90%,rainday,SW,3
20,civil,2022110700,63,9,6,none,4,8,96%,cloudynight,SW,3
21,civil,2022110700,66,9,6,rain,4,8,94%,rainnight,SW,3
22,civil,2022110700,69,9,6,rain,4,8,96%,rainnight,SW,3
23,civil,2022110700,72,9,2,rain,4,8,97%,rainnight,SW,3
24,civil,2022110700,75,9,2,rain,4,8,98%,rainnight,SW,2
25,civil,2022110700,78,9,2,rain,4,9,95%,rainnight,SW,2
26,civil,2022110700,81,9,2,rain,4,9,92%,rainday,SW,3
27,civil,2022110700,84,9,2,rain,4,9,97%,rainday,SW,2
28,civil,2022110700,87,8,2,rain,4,8,94%,rainnight,W,2
29,civil,2022110700,90,8,2,rain,4,7,90%,rainnight,W,2
30,civil,2022110700,93,6,2,rain,4,7,86%,rainnight,W,2
31,civil,2022110700,96,8,2,rain,4,7,86%,rainnight,W,2
32,civil,2022110700,99,6,6,rain,4,5,85%,rainnight,W,2
33,civil,2022110700,102,5,15,none,4,4,80%,pcloudynight,W,2
34,civil,2022110700,105,7,15,none,4,6,81%,mcloudyday,W,2
35,civil,2022110700,108,7,15,none,4,7,91%,mcloudyday,SW,2
36,civil,2022110700,111,9,15,none,4,8,94%,cloudynight,SW,3
37,civil,2022110700,114,9,15,none,4,8,95%,cloudynight,SW,3
38,civil,2022110700,117,9,15,rain,4,9,96%,rainnight,SW,3
39,civil,2022110700,120,9,15,rain,4,9,96%,rainnight,SW,2
40,civil,2022110700,123,9,15,rain,4,9,97%,rainnight,W,2
41,civil,2022110700,126,9,15,none,4,9,97%,cloudynight,W,2
42,civil,2022110700,129,8,15,none,4,10,98%,cloudyday,SW,2
43,civil,2022110700,132,7,15,none,4,10,98%,mcloudyday,W,2
44,civil,2022110700,135,6,15,none,4,10,91%,mcloudynight,W,3
45,civil,2022110700,138,5,15,none,4,8,88%,pcloudynight,NW,3
46,civil,2022110700,141,1,15,none,4,7,81%,clearnight,NW,3
47,civil,2022110700,144,1,15,none,4,6,83%,clearnight,NW,3
48,civil,2022110700,147,1,15,none,4,6,81%,clearnight,NW,3
49,civil,2022110700,150,1,15,none,4,5,85%,clearnight,NW,3
50,civil,2022110700,153,1,15,none,4,5,79%,clearday,NW,3
51,civil,2022110700,156,1,15,none,4,6,78%,clearday,NW,3
52,civil,2022110700,159,2,15,none,4,4,83%,clearnight,NW,2
53,civil,2022110700,162,2,15,none,4,3,80%,clearnight,N,2
54,civil,2022110700,165,4,15,none,4,2,80%,pcloudynight,N,2
55,civil,2022110700,168,3,15,none,4,2,77%,pcloudynight,N,2
56,civil,2022110700,171,3,15,none,4,1,80%,pcloudynight,NE,2
57,civil,2022110700,174,6,15,none,4,1,77%,mcloudynight,E,2
58,civil,2022110700,177,8,15,none,4,3,85%,cloudyday,SE,2
59,civil,2022110700,180,7,15,none,4,4,83%,mcloudyday,SE,2
60,civil,2022110700,183,9,15,none,4,3,77%,cloudynight,S,2
61,civil,2022110700,186,9,15,none,4,3,80%,cloudynight,S,2
62,civil,2022110700,189,9,15,none,4,3,85%,cloudynight,S,2
63,civil,2022110700,192,9,15,none,4,3,78%,cloudynight,S,2
